iter	Passed	Remaining
697	113489	211695
698	113658	211544
699	113841	211419
700	114009	211266
701	114165	211092
702	114346	210964
703	114524	210829
704	114698	210687
705	114887	210572
706	115061	210431
707	115230	210280
708	115391	210113
709	115548	209940
710	115736	209823
711	115909	209678
712	116082	209535
713	116253	209387
714	116406	209206
715	116591	209083
716	116723	208865
717	116898	208723
718	117043	208528
719	117197	208350
720	117368	208202
721	117510	208004
722	117672	207839
723	117834	207674
724	117972	207468
725	118121	207282
726	118253	207066
727	118384	206847
728	118531	206657
729	118687	206483
730	118850	206321
731	119014	206162
732	119162	205974
733	119320	205803
734	119470	205619
735	119625	205443
736	119792	205289
737	119955	205127
738	120142	205005
739	120335	204894
740	120521	204773
741	120707	204648
742	120887	204516
743	121062	204374
744	121217	204198
745	121363	204007
746	121519	203833
747	121667	203647
748	121816	203460
749	121981	203302
750	122121	203102
751	122269	202915
752	122397	202694
753	122538	202497
754	122710	202350
755	122855	202159
756	123008	201980
757	123159	201800
758	123314	201624
759	123465	201443
760	123626	201278
761	123789	2011167762	123937	2009307763	124111	2007877764	124271	2006217765	124450	2004857766	124630	2003517767	124802	200204
768	124966	200044
769	125138	199896
770	125306	199742
771	125488	199610
772	125642	199434
773	125799	199263
774	125958	199096
775	126104	198907
776	126276	198758
777	126437	198594
778	126609	198446
779	126794	198320
780	126965	198170
781	127165	198065
782	127349	197936
783	127517	197782
784	127702	197654
785	127879	197512
786	128052	197366
787	128215	197203
788	128377	197040
789	128515	196839
790	128689	196695
791	128852	196532
792	129008	196360
793	129187	196222
794	129380	196104
795	129535	195930
796	129670	195725
797	129846	195583
798	129995	195400
799	130147	195221
800	130338	195100
801	130506	194946
802	130677	194796
803	130827	194613
804	131041	194527
805	131209	194372
806	131377	194217
807	131545	194061
808	131709	193901
809	131883	193754
810	132041	193584
811	132216	193440
812	132364	193255
813	132522	193084
814	132668	192898
815	132806	192699
816	132957	192519
817	133107	192338
818	133264	192167
819	133433	192013
820	133618	191882
821	133753	191680
822	133900	191495
823	134067	191339
824	134223	1911678825	134384	1910018826	134566	190866
827	134732	190707
828	134908	190564
829	135086	190423
830	135262	190278
831	135480	190194
832	135693	190101
833	135849	189929
834	136006	189757
835	136189	189622
836	136361	189472
837	136551	189346
838	136707	189174
839	136871	189013
840	137025	188837
841	137172	188653
842	137347	188506
843	137507	188339
844	137679	188189
845	137832	188012
846	137978	1878268847	138146	187670
848	138296	187490
849	138454	187320
850	138590	187122
851	138771	186982
852	138937	186823
853	139079	186633
854	139250	186481
855	139377	186271
856	139513	1860718857	139633	1858528858	139809	1857068859	139933	1854928860	140088	1853208861	140256	1851648862	140390	1849638863	140535	1847788864	140679	1845908865	140835	1844198866	140994	1842528867	141158	1840928868	141322	1839308869	141470	1837498870	141613	1835618871	141748	1833628872	141907	1831968873	142058	1830178874	142213	1828468875	142417	1827378876	142577	1825708877	142718	1823808878	142889	1822298879	143055	1820708880	143278	1819848881	143420	1817968882	143576	1816248883	143754	1814828884	143903	1813028885	144050	1811208886	144200	1809418887	144357	1807718888	144510	1805978889	144667	1804288890	144823	1802578891	144986	1800948892	145124	1799028893	145309	1797678894	145498	1796388895	145657	1794708896	145834	179326
897	146008	1791768898	146172	179016
899	146324	178841
900	146469	178656
901	146631	178493
902	146792	178329
903	146962	1781769904	147135	178026
905	147297	177862
906	147445	177682
907	147629	177545
908	147793	177385
909	147947	177212
910	148107	177045
911	148275	176890
912	148431	176720
913	148596	176559
914	148771	176412
915	148936	176252
916	149104	176096
917	149275	175943
918	149427	175768
919	149581	175595
920	149752	175443
921	149919	175285
922	150099	175142
923	150275	174995
924	150440	174836
925	150605	174676
926	150763	174508
927	150922	174341
928	151094	174189
929	151260	174030
930	151429	173875
931	151602	173724
932	151756	173552
933	151925	173396
934	152076	173220
935	152235	173053
936	152399	172893
937	152553	172720
938	152730	172574
939	152905	172425
940	153080	172276
941	153275	172149
942	153498	172055
943	153662	171893
944	153832	171738
945	153998	171580
946	154164	171420
947	154349	171281
948	154524	171132
949	154708	170993
950	154866	170825
951	155030	170663
952	155200	170508
953	155374	170357
954	155547	170206
955	155717	170051
956	155878	169886
957	156110	169798
958	156271	169633
959	156441	169478
960	156589	169298
961	156731	169113
962	156900	168957
963	157111	168845
964	157240	168646
965	157466	168551
966	157639	168398
967	157789	168222
968	157931	168036
969	158087	167865
970	158263	167717
971	158433	167561
972	158600	167403
973	158768	167245
974	158923	167073
975	159089	166913
976	159270	166769
977	159415	166587
978	159583	166430
979	159711	166230
980	159855	166047
981	159985	165850
982	160113	165651
983	160250	165462
984	160415	165301
985	160566	165126
986	160722	164956
987	160834	164741
988	160976	164557
989	161126	164381
990	161282	164212
991	161428	164032
992	161572	163850
993	161744	163697
994	161893	163520
995	162041	163342
996	162200	163177
997	162345	162995
998	162491	162817
999	162649	162649
1000	162810	162485
1001	162974	162323
1002	163137	162161
1003	163310	162009
1004	163465	161838
1005	163632	161680
1006	163828	161551
1007	164004	161401
1008	164163	161234
1009	164337	161082
1010	164501	160922
1011	164664	160759
1012	164814	160584
1013	164956	160401
1014	165115	160235
1015	165259	160054
1016	165419	159889
1017	165562	159707
1018	165711	159531
1019	165836	159332
1020	165977	159149
1021	166136	158984
1022	166363	158882
1023	166502	158697
1024	166718	158586
1025	166857	158400
1026	167009	158228
1027	167151	158046
1028	167328	157896
1029	167505	157748
1030	167636	157555
1031	167780	157375
1032	167920	157191
1033	168055	157003
1034	168194	156819
1035	168338	156639
1036	168500	156476
1037	168719	156366
1038	168918	156237
1039	169067	156061
1040	169218	155888
1041	169369	155715
1042	169545	155565
1043	169709	155404
1044	169878	155247
1045	170037	155082
1046	170153	154877
1047	170360	154755
1048	170503	154574
1049	170694	154437
1050	170851	154270
1051	171006	154100
1052	171193	153960
1053	171347	153790
1054	171516	153633
1055	171680	153472
1056	171831	153298
1057	172003	153145
1058	172181	152996
1059	172345	152835
1060	172518	152681
1061	172703	152538
1062	172835	152348
1063	172975	152166
1064	173144	152009
1065	173305	151845
1066	173474	151688
1067	173659	151545
1068	173830	151389
1069	173980	151216
1070	174146	151057
1071	174286	150875
1072	174434	150699
1073	174545	150492
1074	174659	150288
1075	174782	150092
1076	174924	149912
1077	175066	149732
1078	175182	149530
1079	175339	149363
1080	175465	149169
1081	175616	148997
1082	175747	148809
1083	175868	148611
1084	175994	148419
1085	176100	148210
1086	176215	148007
1087	176321	147799
1088	176437	147598
1089	176558	147401
1090	176680	147206
1091	176830	147035
1092	176927	146819
1093	177013	146593
1094	177113	146381
1095	177234	146186
1096	177323	145964
1097	177441	145766
1098	177567	145576
1099	177655	145354
1100	177768	145153
1101	177864	144938
1102	177994	144752
1103	178099	144544
1104	178203	144336
1105	178302	144125
1106	178405	143917
1107	178503	143704
1108	178596	143489
1109	178698	143280
1110	178803	143075
1111	178912	142872
1112	179018	142668
1113	179126	142464
1114	179226	142256
1115	179344	142061
1116	179459	141864
1117	179553	141650
1118	179659	141448
1119	179765	141244
1120	179870	141040
1121	179975	140836
1122	180076	140629
1123	180186	140430
1124	180283	140220
1125	180403	140029
1126	180495	139815
1127	180623	139630
1128	180729	139429
1129	180826	139220
1130	180918	139008
1131	181021	138804
1132	181136	138609
1133	181238	138405
1134	181353	138211
1135	181471	138020
1136	181573	137816
1137	181687	137622
1138	181817	137440
1139	181914	137233
1140	182026	137038
1141	182137	136842
1142	182254	136650
1143	182353	136445
1144	182459	136247
1145	182561	136045
1146	182666	135845
1147	182759	135637
1148	182864	135437
1149	182964	135234
1150	183064	135032
1151	183163	134828
1152	183259	134623
1153	183361	134422
1154	183468	134226
1155	183582	134034
1156	183690	133838
1157	183784	133632
1158	183904	133445
1159	184019	133255
1160	184141	133070
1161	184243	132871
1162	184330	132661
1163	184431	132461
1164	184543	132269
1165	184645	132070
1166	184741	131867
1167	184842	131668
1168	184941	131468
1169	185030	131260
1170	185128	131060
1171	185221	130856
1172	185331	130664
1173	185441	130472
1174	185556	130284
1175	185670	130095
1176	185781	129905
1177	185910	129727
1178	186026	129539
1179	186135	129348
1180	186249	129160
1181	186376	128981
1182	186484	128789
1183	186596	128599
1184	186721	128420
1185	186819	128221
1186	186914	128021
1187	187008	127820
1188	187103	127620
1189	187200	127421
1190	187299	127225
1191	187401	127030
1192	187511	126841
1193	187617	126649
1194	187730	126462
1195	187828	126265
1196	187949	126085
1197	188041	125884
1198	188141	125689
1199	188250	125500
1200	188394	125335
1201	188498	125143
1202	188599	124949
1203	188694	124751
1204	188800	124561
1205	188908	124372
1206	189010	124180
1207	189122	123994
1208	189237	123810
1209	189335	123615
1210	189455	123435
1211	189560	123245
1212	189670	123058
1213	189783	122874
1214	189888	122685
1215	189994	122496
1216	190105	122311
1217	190219	122127
1218	190320	121936
1219	190424	121746
1220	190526	121556
1221	190631	121367
1222	190743	121183
1223	190851	120997
1224	190960	120812
1225	191057	120618
1226	191158	120428
1227	191268	120243
1228	191380	120060
1229	191477	119868
1230	191593	119687
1231	191708	119506
1232	191827	119328
1233	191930	119139
1234	192038	118955
1235	192157	118776
1236	192257	118587
1237	192369	118405
1238	192479	118222
1239	192597	118043
1240	192710	117862
1241	192825	117682
1242	192940	117503
1243	193052	117321
1244	193156	117134
1245	193279	116960
1246	193393	116780
1247	193513	116604
1248	193612	116415
1249	193713	116228
1250	193825	116047
1251	193927	115860
1252	194023	115670
1253	194119	115480
1254	194218	115292
1255	194355	115127
1256	194473	114951
1257	194586	114772
1258	194697	114591
1259	194814	114414
1260	194943	114244
1261	195047	114061
1262	195160	113882
1263	195257	113694
1264	195355	113506
1265	195455	113320
1266	195562	113139
1267	195664	112954
1268	195769	112771
1269	195871	112587
1270	195975	112404
1271	196074	112218
1272	196173	112032
1273	196269	111845
1274	196368	111660
1275	196473	111478
1276	196588	111302
1277	196705	111127
1278	196808	110945
1279	196925	110770
1280	197032	110590
1281	197121	110400
1282	197226	110219
1283	197325	110035
1284	197422	109849
1285	197503	109655
1286	197603	109472
1287	197724	109301
1288	197824	109117
1289	197916	108931
1290	198020	108750
1291	198125	108570
1292	198248	108400
1293	198383	108237
1294	198494	108060
1295	198601	107882
1296	198717	107708
1297	198813	107524
1298	198912	107342
1299	199009	107158
1300	199112	106979
1301	199217	106800
1302	199325	106622
1303	199427	106442
1304	199522	106259
1305	199613	106073
1306	199716	105893
1307	199826	105718
1308	199947	105549
1309	200063	105377
1310	200154	105191
1311	200254	105011
1312	200375	104842
1313	200475	104662
1314	200559	104474
1315	200664	104296
1316	200766	104118
1317	200859	103934
1318	200983	103767
1319	201098	103596
1320	201210	103423
1321	201302	103239
1322	201410	103064
1323	201511	102886
1324	201608	102706
1325	201711	102528
1326	201809	102349
1327	201904	102168
1328	202009	101992
1329	202105	101812
1330	202198	101631
1331	202302	101455
1332	202412	101282
1333	202513	101105
1334	202619	100930
1335	202716	100751
1336	202806	100569
1337	202912	100394
1338	203009	100216
1339	203108	100038
1340	203215	99864
1341	203328	99694
1342	203442	99524
1343	203553	99353
1344	203661	99181
1345	203765	99006
1346	203876	98835
1347	203972	98657
1348	204071	98480
1349	204172	98305
1350	204279	98132
1351	204403	97968
1352	204507	97794
1353	204656	97642
1354	204767	97472
1355	204869	97297
1356	204974	97125
1357	205078	96951
1358	205178	96776
1359	205287	96606
1360	205389	96432
1361	205492	96258
1362	205612	96093
1363	205705	95915
1364	205799	95738
1365	205900	95564
1366	206005	95392
1367	206090	95211
1368	206185	95035
1369	206285	94861
1370	206395	94691
1371	206505	94522
1372	206608	94350
1373	206713	94179
1374	206809	94004
1375	206904	93828
1376	206991	93649
1377	207092	93476
1378	207191	93303
1379	207286	93128
1380	207385	92955
1381	207479	92780
1382	207582	92608
1383	207683	92436
1384	207800	92272
1385	207895	92098
1386	208007	91931
1387	208097	91754
1388	208199	91583
1389	208301	91412
1390	208423	91250
1391	208539	91086
1392	208651	90919
1393	208782	90762
1394	208897	90597
1395	208998	90426
1396	209089	90251
1397	209187	90079
1398	209287	89908
1399	209382	89735
1400	209494	89569
1401	209592	89398
1402	209699	89230
1403	209802	89061
1404	209914	88896
1405	210018	88727
1406	210131	88563
1407	210238	88395
1408	210341	88226
1409	210495	88079
1410	210608	87915
1411	210709	87746
1412	210804	87574
1413	210907	87406
1414	211018	87240
1415	211119	87071
1416	211214	86900
1417	211314	86731
1418	211406	86559
1419	211504	86389
1420	211603	86219
1421	211698	86049
1422	211800	85881
1423	211906	85714
1424	212012	85548
1425	212115	85381
1426	212222	85216
1427	212333	85052
1428	212431	84883
1429	212537	84717
1430	212640	84550
1431	212732	84379
1432	212836	84213
1433	212937	84046
1434	213046	83882
1435	213158	83719
1436	213266	83555
1437	213378	83392
1438	213474	83224
1439	213565	83053
1440	213669	82887
1441	213764	82718
1442	213855	82548
1443	213960	82383
1444	214068	82220
1445	214166	82052
1446	214283	81892
1447	214388	81728
1448	214528	81577
1449	214624	81409
1450	214725	81243
1451	214831	81079
1452	214914	80907
1453	215020	80743
1454	215141	80585
1455	215243	80420
1456	215351	80257
1457	215446	80090
1458	215556	79928
1459	215662	79765
1460	215759	79599
1461	215868	79437
1462	215958	79268
1463	216049	79100
1464	216151	78935
1465	216258	78773
1466	216374	78614
1467	216477	78451
1468	216591	78291
1469	216686	78125
1470	216792	77962
1471	216922	77809
1472	217012	77641
1473	217110	77476
1474	217205	77310
1475	217298	77143
1476	217386	76975
1477	217481	76810
1478	217578	76645
1479	217689	76485
1480	217787	76321
1481	217899	76161
1482	217995	75997
1483	218088	75831
1484	218177	75664
1485	218291	75505
1486	218393	75343
1487	218496	75181
1488	218583	75014
1489	218699	74856
1490	218804	74695
1491	218903	74532
1492	219000	74369
1493	219098	74206
1494	219192	74041
1495	219285	73876
1496	219383	73713
1497	219473	73548
1498	219580	73388
1499	219693	73231
1500	219799	73071
1501	219890	72906
1502	219996	72746
1503	220084	72581
1504	220190	72421
1505	220305	72264
1506	220400	72101
1507	220518	71946
1508	220629	71788
1509	220736	71629
1510	220851	71473
1511	220969	71318
1512	221061	71154
1513	221156	70992
1514	221257	70831
1515	221348	70667
1516	221479	70517
1517	221574	70355
1518	221695	70201
1519	221798	70041
1520	221924	69889
1521	222035	69732
1522	222135	69572
1523	222233	69411
1524	222336	69252
1525	222431	69090
1526	222535	68932
1527	222632	68771
1528	222726	68609
1529	222829	68450
1530	222924	68289
1531	223015	68127
1532	223110	67966
1533	223205	67805
1534	223300	67644
1535	223402	67486
1536	223509	67329
1537	223614	67171
1538	223767	67028
1539	223874	66871
1540	223987	66716
1541	224096	66560
1542	224193	66400
1543	224300	66244
1544	224394	66083
1545	224490	65924
1546	224583	65763
1547	224689	65607
1548	224803	65452
1549	224911	65297
1550	225001	65135
1551	225126	64984
1552	225220	64825
1553	225314	64665
1554	225410	64506
1555	225509	64348
1556	225604	64189
1557	225702	64031
1558	225793	63870
1559	225882	63710
1560	225970	63549
1561	226099	63400
1562	226196	63242
1563	226292	63084
1564	226398	62928
1565	226505	62773
1566	226612	62618
1567	226726	62465
1568	226825	62308
1569	226930	62153
1570	227037	61998
1571	227150	61845
1572	227259	61690
1573	227373	61538
1574	227468	61380
1575	227570	61224
1576	227677	61070
1577	227783	60915
1578	227901	60764
1579	228000	60607
1580	228091	60449
1581	228186	60292
1582	228273	60132
1583	228377	59977
1584	228480	59822
1585	228572	59665
1586	228672	59509
1587	228766	59352
1588	228870	59198
1589	228968	59042
1590	229068	58886
1591	229163	58730
1592	229259	58574
1593	229359	58419
1594	229471	58267
1595	229588	58116
1596	229688	57961
1597	229800	57809
1598	229910	57657
1599	230009	57502
1600	230100	57345
1601	230196	57189
1602	230297	57035
1603	230408	56883
1604	230511	56730
1605	230601	56573
1606	230720	56423
1607	230828	56271
1608	230939	56120
1609	231050	55968
1610	231156	55816
1611	231265	55664
1612	231376	55513
1613	231486	55361
1614	231602	55211
1615	231700	55057
1616	231797	54903
1617	231905	54751
1618	232002	54597
1619	232102	54443
1620	232194	54288
1621	232295	54135
1622	232404	53984
1623	232509	53832
1624	232621	53681
1625	232719	53528
1626	232825	53376
1627	232914	53221
1628	233013	53068
1629	233120	52917
1630	233210	52761
1631	233303	52607
1632	233391	52452
1633	233491	52299
1634	233584	52145
1635	233691	51994
1636	233789	51842
1637	233889	51689
1638	233992	51538
1639	234092	51386
1640	234187	51232
1641	234298	51083
1642	234402	50932
1643	234504	50780
1644	234610	50630
1645	234707	50477
1646	234814	50327
1647	234908	50174
1648	235012	50023
1649	235108	49871
1650	235211	49720
1651	235310	49569
1652	235415	49418
1653	235522	49268
1654	235628	49118
1655	235722	48966
1656	235820	48815
1657	235923	48664
1658	236021	48513
1659	236119	48361
1660	236218	48210
1661	236320	48060
1662	236430	47911
1663	236526	47760
1664	236639	47612
1665	236737	47461
1666	236825	47308
1667	236930	47158
1668	237022	47006
1669	237128	46857
